config_id,embedding_dim,heads,layers,drop_rate,num_epochs,batch_size,lr,train_avg_loss,train_perplexity,train_token_accuracy,train_num_samples,train_avg_bleu,train_exact_match_rate,test_avg_loss,test_perplexity,test_token_accuracy,test_num_samples,test_avg_bleu,test_exact_match_rate,number_parameter,cpp_model_size
emb12_h2_l1_d001_ep300_bs4_lr001,12,2,1,0.01,300,4,0.01,0.350768007338047,1.4201578214989672,0.8854916067146283,105,0.9841269841269842,0.9809523809523809,9.333456993103027,11310.163136535797,0.3419354838709677,27,0.06374940985951595,0.0,12780,198178
emb12_h2_l1_d001_ep300_bs4_lr0005,12,2,1,0.01,300,4,0.005,0.33844560384750366,1.4027654418355224,0.8872901678657075,105,0.9811894622303231,0.9809523809523809,8.974825859069824,7901.641953466199,0.36129032258064514,27,0.06572437244094625,0.0,12780,198297
emb12_h2_l1_d001_ep300_bs8_lr001,12,2,1,0.01,300,8,0.01,0.3538217917084694,1.4245013059147391,0.8687050359712231,105,0.9927508930494406,0.9904761904761905,9.290182113647461,10831.156420392275,0.36129032258064514,27,0.040410952354573954,0.0,12780,198126
emb12_h2_l1_d001_ep300_bs8_lr0005,12,2,1,0.01,300,8,0.005,0.33654457330703735,1.4001012750230597,0.8926858513189448,105,1.0,1.0,9.556411743164062,14135.034956412339,0.35053763440860214,27,0.03420401769757043,0.0,12780,198155
emb12_h2_l1_d001_ep500_bs4_lr001,12,2,1,0.01,500,4,0.01,0.3279712572693825,1.3881490725211525,0.8723021582733813,105,0.9904761904761905,0.9904761904761905,9.155142784118652,9462.981524555436,0.3720430107526882,27,0.016666666666666666,0.0,12780,198296
emb12_h2_l1_d001_ep500_bs4_lr0005,12,2,1,0.01,500,4,0.005,0.3313179165124893,1.3928025168484872,0.8896882494004796,105,0.986236559139785,0.9809523809523809,9.5632963180542,14232.684414955957,0.35913978494623655,27,0.007407407407407408,0.0,12780,198080
emb12_h2_l1_d001_ep500_bs8_lr001,12,2,1,0.01,500,8,0.01,0.3173878639936447,1.3735352134758523,0.8914868105515588,105,1.0,1.0,9.931456565856934,20567.276366959628,0.38064516129032255,27,0.0315154469836435,0.0,12780,198355
emb12_h2_l1_d001_ep500_bs8_lr0005,12,2,1,0.01,500,8,0.005,0.32399381697177887,1.3826387581985888,0.8902877697841727,105,1.0,1.0,10.421103477478027,33560.44691803523,0.34623655913978496,27,0.045162770548920726,0.0,12780,198212
emb12_h2_l1_d005_ep300_bs4_lr001,12,2,1,0.05,300,4,0.01,0.3650757074356079,1.4406230698990719,0.882494004796163,105,0.9962526729496441,0.9904761904761905,8.916975975036621,7457.503420366138,0.35268817204301073,27,0.01724013419435643,0.0,12780,198138
emb12_h2_l1_d005_ep300_bs4_lr0005,12,2,1,0.05,300,4,0.005,0.3520202338695526,1.4219372947212354,0.8872901678657075,105,1.0,1.0,9.043508529663086,8463.419182711563,0.4021505376344086,27,0.07041706611001511,0.0,12780,198367
emb12_h2_l1_d005_ep300_bs8_lr001,12,2,1,0.05,300,8,0.01,0.36385592818260193,1.4388668990551323,0.8866906474820144,105,0.9825822765683574,0.9809523809523809,9.167535781860352,9580.985937109332,0.36129032258064514,27,0.04548003818217342,0.0,12780,198119
emb12_h2_l1_d005_ep300_bs8_lr0005,12,2,1,0.05,300,8,0.005,0.3711914196610451,1.4494605020711497,0.8842925659472423,105,0.9823320578047844,0.9809523809523809,9.284876823425293,10773.84615036966,0.3978494623655914,27,0.08995184876208358,0.0,12780,198294
emb12_h2_l1_d005_ep500_bs4_lr001,12,2,1,0.05,500,4,0.01,0.3382444307208061,1.40248327150906,0.8884892086330936,105,0.9937359817081434,0.9904761904761905,8.674822807312012,5853.6624684434155,0.3741935483870968,27,0.08699505891163985,0.0,12780,197975
emb12_h2_l1_d005_ep500_bs4_lr0005,12,2,1,0.05,500,4,0.005,0.3373289927840233,1.4011999725964916,0.8896882494004796,105,0.9849180190519856,0.9809523809523809,9.003719329833984,8133.27808558349,0.36989247311827955,27,0.023818357798227358,0.0,12780,198274
emb12_h2_l1_d005_ep500_bs8_lr001,12,2,1,0.05,500,8,0.01,0.347992867231369,1.4162221481190846,0.8848920863309353,105,0.9761904761904762,0.9714285714285714,8.970907211303711,7870.738790726663,0.35913978494623655,27,0.04843319980484369,0.0,12780,198240
emb12_h2_l1_d005_ep500_bs8_lr0005,12,2,1,0.05,500,8,0.005,0.33929111808538437,1.4039520015448768,0.8854916067146283,105,0.9936507936507936,0.9904761904761905,9.382613182067871,11880.018879131674,0.37849462365591396,27,0.05824256731123118,0.0,12780,198157
emb12_h2_l2_d001_ep300_bs4_lr001,12,2,2,0.01,300,4,0.01,0.3387906774878502,1.403249582740417,0.8890887290167866,105,1.0,1.0,8.98150634765625,7954.605496547514,0.3827956989247312,27,0.11227035125265063,0.037037037037037035,14628,223339
emb12_h2_l2_d001_ep300_bs4_lr0005,12,2,2,0.01,300,4,0.005,0.31986983865499496,1.3769485271990338,0.8920863309352518,105,1.0,1.0,9.574481010437012,14392.766175730629,0.35698924731182796,27,0.03553381454315824,0.0,14628,223475
